Turnover,,,,,,,,Faixa Etária,,,,,,,,Frequência de Viagens,,,,,Distância do Trabalho,,,,,,Formação,,,,,,,,Satisfação com o clima organizacional,,,,,,,,Gênero,,,,,Estado Civil,,,,,,,Salário,,,,,,,Qtde Empresas trabalhadas,,,,,,,Faz horas Extra?,,,,,Percentual de aumento de salário de 2018 a 2019,,,,,,Qtde de Ações da Empresa,,,,,,Tempo de Carreira,,,,,,,,,,Horas de Treinamento,,,,,,Equilibrio de Vida,,,,,,,,,,,,Tempo de Empresa,,,,,,Anos no mesmo Cargo,,,,,,,,,Anos desde a ultima promoção,,,,,,,,,Anos com o mesmo chefe,,,,,,,,,,,,,,,,,,,,,,,,
Insights,,,,,,,,Insights,,,,,,,,Insights,,,,,Insights,,,,,,Insights,,,,,,,,Insights,,,,,,,,Insights,,,,,Insights,,,,,,,Insights,,,,,,,Insights,,,,,,,Insights,,,,,Insights,,,,,,Insights,,,,,,Insights,,,,,,,,,,Insights,,,,,,Insights,,,,,,,,,,,,Insights,,,,,,Insights,,,,,,,,,Insights,,,,,,,,,Insights,,,,,,,,,,,,,,,,,,,,,,,,
1. (16%) Deixaram a empresa.,,,,,,,,1. Temos uma maior faixa etária de funcionarios entre 30 a 40 anos.,,,,,,,,1. Até 81% Viaja raramente.,,,,,1. De acordo a frequencia acumulada, até (70%) moram a 10Km de distancia.,,,,,,1. A mior parte dos Funcionários tem Ensino Superior (39%),,,,,,,,1. Até 39% não se agrada com o clima organizacional.,,,,,,,,1. A maior parte dos funcionários são homens. 60%,,,,,1. Vemos que a maioria dos funcionários são casados com (45,78%),,,,,,,1. Já notsamos que segundo Diagrama de Pareto 70% recebem até 7000 Reais,,,,,,,1. De acordo o gráfico de pareto Até (79,05%) Trabalharam em 4 Empresas.,,,,,,,1. Cerca de 71,70% não fazem hora extra.,,,,,1. Observamos que a maioria receberam o menor percentual de aumento,,,,,,1. Notamos que 43% não tem nenhuma das ações da empresa.,,,,,,1. De acordo o Diagrama de Pareto, até 73% dos funcionários tem de 10 a 14 anos de Carreira.,,,,,,,,,,1. De acordo o diagrama de pareto até 79% tiveram 3 horas de treinamento.,,,,,,"1. Vemos que 61% tem uma Classificação de Equilibrio de Vida ""Muito bom""",,,,,,,,,,,,1. 39% tem até 4 anos de empresa.,,,,,,1. Até 82% dos funcionários estiveram 7 anos no mesmo cargo.,,,,,,,,,1. Até 78% tiveram sua promoção com 3 anos de acordo diagrama de pareto.,,,,,,,,,1. Logo de cara já observamos 14% com 7 anos com o mesmo chefe. ,,,,,,,,,,,,,,,,,,,,,,,,
2.( 84%) dos funcionários não deixaram a empresa.,,,,,,,,2. Média de idade 37 anos,,,,,,,,2. 19% Viaja frequentemente.,,,,,com a maior parte morando de 1 a 4 Km com (38,57%).,,,,,,2. Tem uma quantidade significativa de funcionários com Mestrado. (27%),,,,,,,,2. Mesmo tendo uma alta taxa de percentual 61% que se agradam ,,,,,,,,40% Mulher,,,,,2. Temos uma boa parte de solteiros (31,97%),,,,,,,e 80% recebem até 10000 Reais.,,,,,,,2. (35%) já trabalharam em 1 empresa.,,,,,,,2. (28,30%) Fazem hora extra.,,,,,Cerca de 14,29% receberam 11% de aumento.,,,,,,2. Mas 41% tem 1 das ações da empresa.,,,,,,2. A maior parte dos funcionários tem de 5 a 9 anos de  Tempo de Carreira com (33,54%),,,,,,,,,,2. 37,21% tiveram 2 horas de treinamento. ,,,,,,2. Apenas 5% tem um Equilibrio de Vida ruim. ,,,,,,,,,,,,2. Até 75% tem de 5 a 9 anos tempo de empresa.,,,,,,2. 25,31% estiveram no mesmo cargo por 2 anos.,,,,,,,,,,,,,,,,,,2. Algo a se pontuar, como é a conduta dos chefes dessa empresa? Os chefes são bons? Os funcionários gostam de seus chefes?[,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3. mediana 36 anos. (Até 75%) tem 43 anos.,,,,,,,,,,,,,2. Média de Distancia 9Km e Mediana de 7 Km de acordo Boxbplot.,,,,,,3. Apesar do doutorado ter a menor porcentagem (3,27%) é a que tem a maior média salarial.,,,,,,,,seria interessante melhorar essa parte na empresa, pois podem estar pecando nessa área,,,,,,,,,,,,,3. Vale a pena investir contratações em Casados. Tendem a ser mais ,,,,,,,2. Salário Mínimo e Máximo:,,,1009,19999,,,3. Podemos afirmar que trabalhar em outra empresa anterior não poderia ser uma coisa ruim,,,,,,,3. Nota-se de fato que a maioria não faz hora extra.,,,,,2. A mediana é de 14%. Ou seja metade receberam até 14% de aumento.,,,,,,3. (10%) tem 2 ações e 6% tem 3 ações  da empresa.,,,,,,3. Média de 11 anos o tempo de Carreira e a Mediana de 10 Anos.,,,,,,,,,,,,,,,,Necessário analisar bem o que pode estar causando um equilibrio de vida ruim,,,,,,,,,,,,3. Média de 7 anos tempo de empresa e Mediana de 5 anos.,,,,,,3. Necessário analisar sobre plano de carreira.,,,,,,,,,,,,,,,,,,Existe assédio moral na empresa? Abuso de poder?          . Pontos a ser analisados.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,25-29,112,7,62%,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509-4008,316,21,50%,37,01%,,,,7,74,5,03%,93,13%,,,,,,,,,18,89,6,05%,79,46%,,,,,,,,,35-40,16,1,09%,100,00%,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,30-34,13,0,88%,99,73%,,,6,37,2,52%,67,01%,,,,,,6,32,2,18%,87,55%,,,,,,6,29,1,97%,66,87%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4009-5508,311,21,16%,58,16%,,,,8,49,3,33%,96,46%,,,,,,,,,19,76,5,17%,84,63%,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,35-40,4,0,27%,100,00%,,,7,222,15,10%,82,11%,,,,,,7,76,5,17%,92,72%,,,,,,7,216,14,69%,81,56%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5509-7008,181,12,31%,70,48%,,,,9,52,3,54%,100,00%,,,,,,,,,20,55,3,74%,88,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Geral,1470,100,00%,,,,8,89,6,05%,88,16%,,,,,,8,18,1,22%,93,95%,,,,,,8,107,7,28%,88,84%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009-8508,75,5,10%,75,58%,,,,Total Geral,1470,100,00%,,,,,,,,,,21,48,3,27%,91,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,67,4,56%,92,72%,,,,,,9,17,1,16%,95,10%,,,,,,9,64,4,35%,93,20%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8509-10008,79,5,37%,80,95%,,,,,,,,,,,,,,,,22,56,3,81%,95,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,29,1,97%,94,69%,,,,,,10,6,0,41%,95,51%,,,,,,10,27,1,84%,95,03%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10009-11508,71,4,83%,85,78%,,,,,,,,,,,,,,,,23,28,1,90%,97,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,22,1,50%,96,19%,,,,,,11,24,1,63%,97,14%,,,,,,11,22,1,50%,96,53%,,,,,,,,,,,,,,,,,,Anos com o mesmo chefe,Média de Salário,DesvPad de Salário2,Coeficiente de Variação
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11509-13008,24,1,63%,87,41%,,,,,,,,,,,,,,,,24,21,1,43%,98,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,0,68%,96,87%,,,,,,12,10,0,68%,97,82%,,,,,,12,18,1,22%,97,76%,,,,,,,,,,,,,,,,,,Ensino Médio,5640,570588,4484,500308,80%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13009-14508,48,3,27%,90,68%,,,,,,,,,,,,,,,,25,18,1,22%,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,0,95%,97,82%,,,,,,13,10,0,68%,98,50%,,,,,,13,14,0,95%,98,71%,,,,,,,,,,,,,,,,,,Ensino Técnico,6226,64539,4524,683862,73%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14509-16008,11,0,75%,91,43%,,,,,,,,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,0,75%,98,57%,,,,,,14,9,0,61%,99,12%,,,,,,14,5,0,34%,99,05%,,,,,,,,,,,,,,,,,,Ensino Superior,6517,263986,4817,402573,74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16009-17508,45,3,06%,94,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,0,54%,99,12%,,,,,,15,13,0,88%,100,00%,,,,,,15,5,0,34%,99,39%,,,,,,,,,,,,,,,,,,Mestrado,6832,40201,4657,191476,68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17509-19008,31,2,11%,96,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,0,48%,99,59%,,,,,,Total Geral,1470,100,00%,,,,,,,16,2,0,14%,99,52%,,,,0,714364762,,,,,,,0,344078883,,,,,,,Doutorado,8277,645833,5061,430495,61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19009-20508,50,3,40%,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,0,27%,99,86%,,,,,,,,,,,,,,,17,7,0,48%,100,00%,,,,,,,,,,,,,,,,,,Total Geral,6502,931293,4707,956783,72%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equilibrio de Vida,Rótulos de Coluna,,,,,,,,,,,,,,,,,18,2,0,14%,100,00%,,,,,,,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equilibrio de Vida,Sim,Não,Total Geral,Freq Rel,% Sairam,%Ficou,Turnover,ODDS,IV,,,,,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruim,25,55,80,5%,11%,4%,31%, 2,36 , 0,05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bom,58,286,344,23%,24%,23%,17%, 1,06 , 0,00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muito bom,127,766,893,61%,54%,62%,14%, 0,86 , 0,01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excelente,27,126,153,10%,11%,10%,18%, 1,11 , 0,00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Geral,237,1233,1470,,,,16%,, 0,07 ,FRACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
