Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;17;1;18;6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;10;1;11;9%;;14;8;1;9;11%;;14;3;2;5;40%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Salários 1009-2508 34%;;;;;;;;;;;;;;;;;;Total Geral;1233;237;1470;16%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;6;2;8;25%;;15;10;3;13;23%;;15;5;;5;0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;7;;7;0%;;Total Geral;1233;237;1470;16%;;16;2;;2;0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;4;;4;0%;;;;;;;;17;7;;7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2;;2;0%;;;;;;;;Total Geral;1233;237;1470;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total Geral;1233;237;1470;;;Anos desde a ultima promoção 24%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anos com o mesmo chefe 0 anos 32%;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anos no mesmo cargo menos de 1 ano 30%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e 15 anos 25%;;;;;;;;;;;;;;;;
